fips,state,state_abbr,region,year,disease,age_group,cases,rate,population
37,North Carolina,NC,South,2023,Chlamydia,15-19,17220,2379.5,723681
37,North Carolina,NC,South,2023,Chlamydia,20-24,23630,3249.7,727144
37,North Carolina,NC,South,2023,Chlamydia,25-29,11426,1618.7,705875
37,North Carolina,NC,South,2023,Gonorrhea,15-19,4747,656.0,723681
37,North Carolina,NC,South,2023,Gonorrhea,20-24,7405,1018.4,727144
37,North Carolina,NC,South,2023,Gonorrhea,25-29,5010,709.8,705875
37,North Carolina,NC,South,2023,P&S Syphilis,15-19,74,10.2,723681
37,North Carolina,NC,South,2023,P&S Syphilis,20-24,345,47.4,727144
37,North Carolina,NC,South,2023,P&S Syphilis,25-29,372,52.7,705875
38,North Dakota,ND,Midwest,2023,Chlamydia,15-19,712,1277.3,55743
38,North Dakota,ND,Midwest,2023,Chlamydia,20-24,1262,2013.9,62664
38,North Dakota,ND,Midwest,2023,Chlamydia,25-29,611,1139.6,53615
38,North Dakota,ND,Midwest,2023,Gonorrhea,15-19,130,233.2,55743
38,North Dakota,ND,Midwest,2023,Gonorrhea,20-24,261,416.5,62664
38,North Dakota,ND,Midwest,2023,Gonorrhea,25-29,227,423.4,53615
38,North Dakota,ND,Midwest,2023,P&S Syphilis,15-19,4,7.2,55743
38,North Dakota,ND,Midwest,2023,P&S Syphilis,20-24,19,30.3,62664
38,North Dakota,ND,Midwest,2023,P&S Syphilis,25-29,22,41.0,53615
39,Ohio,OH,Midwest,2023,Chlamydia,15-19,14839,1932.0,768064
39,Ohio,OH,Midwest,2023,Chlamydia,20-24,18477,2476.0,746244
39,Ohio,OH,Midwest,2023,Chlamydia,25-29,9515,1263.9,752829
39,Ohio,OH,Midwest,2023,Gonorrhea,15-19,3624,471.8,768064
39,Ohio,OH,Midwest,2023,Gonorrhea,20-24,4998,669.7,746244
39,Ohio,OH,Midwest,2023,Gonorrhea,25-29,3691,490.3,752829
39,Ohio,OH,Midwest,2023,P&S Syphilis,15-19,51,6.6,768064
39,Ohio,OH,Midwest,2023,P&S Syphilis,20-24,201,26.9,746244
39,Ohio,OH,Midwest,2023,P&S Syphilis,25-29,268,35.6,752829
40,Oklahoma,OK,South,2023,Chlamydia,15-19,4724,1654.4,285542
40,Oklahoma,OK,South,2023,Chlamydia,20-24,7010,2448.2,286333
40,Oklahoma,OK,South,2023,Chlamydia,25-29,3310,1235.4,267929
40,Oklahoma,OK,South,2023,Gonorrhea,15-19,1049,367.4,285542
40,Oklahoma,OK,South,2023,Gonorrhea,20-24,1780,621.7,286333
40,Oklahoma,OK,South,2023,Gonorrhea,25-29,1211,452.0,267929
40,Oklahoma,OK,South,2023,P&S Syphilis,15-19,26,9.1,285542
40,Oklahoma,OK,South,2023,P&S Syphilis,20-24,135,47.1,286333
40,Oklahoma,OK,South,2023,P&S Syphilis,25-29,175,65.3,267929
41,Oregon,OR,West,2023,Chlamydia,15-19,2806,1100.3,255021
41,Oregon,OR,West,2023,Chlamydia,20-24,4968,1918.3,258979
41,Oregon,OR,West,2023,Chlamydia,25-29,2828,1015.5,278484
41,Oregon,OR,West,2023,Gonorrhea,15-19,283,111.0,255021
41,Oregon,OR,West,2023,Gonorrhea,20-24,775,299.2,258979
41,Oregon,OR,West,2023,Gonorrhea,25-29,908,326.0,278484
41,Oregon,OR,West,2023,P&S Syphilis,15-19,13,5.1,255021
41,Oregon,OR,West,2023,P&S Syphilis,20-24,66,25.5,258979
41,Oregon,OR,West,2023,P&S Syphilis,25-29,114,40.9,278484
42,Pennsylvania,PA,Northeast,2023,Chlamydia,15-19,15139,1796.7,842600
42,Pennsylvania,PA,Northeast,2023,Chlamydia,20-24,18545,2305.3,804451
42,Pennsylvania,PA,Northeast,2023,Chlamydia,25-29,9141,1156.3,790539
42,Pennsylvania,PA,Northeast,2023,Gonorrhea,15-19,3884,460.9,842600
42,Pennsylvania,PA,Northeast,2023,Gonorrhea,20-24,4618,574.1,804451
42,Pennsylvania,PA,Northeast,2023,Gonorrhea,25-29,3322,420.2,790539
42,Pennsylvania,PA,Northeast,2023,P&S Syphilis,15-19,50,5.9,842600
42,Pennsylvania,PA,Northeast,2023,P&S Syphilis,20-24,159,19.8,804451
42,Pennsylvania,PA,Northeast,2023,P&S Syphilis,25-29,203,25.7,790539
44,Rhode Island,RI,Northeast,2023,Chlamydia,15-19,1284,1773.8,72387
44,Rhode Island,RI,Northeast,2023,Chlamydia,20-24,1806,2430.4,74309
